,ASX code,Company name,GICs industry group,Listing date,Market Cap,market_cap,beta,industry_cap,industry_weight,weighted_beta,industry_beta
1177,NGS,NUTRITIONAL GROWTH SOLUTIONS LTD,Household & Personal Products,30/10/2020,7328051,7328051,0.5614192201101323,335344722,0.02185229263873728,0.01226829709085827,0.5285055920527294
1178,NGX,NGX LIMITED,Materials,16/06/2023,11779539,11779539,0.5880391747796355,1009891818903,1.1664159249052618e-05,6.858982579311155e-06,1.0750260251119568
1179,NGY,NUENERGY GAS LIMITED,Energy,15/01/1987,69083961,69083961,-0.0555463528733837,126672735205,0.0005453735635233455,-3.029351240728249e-05,1.0282868425662293
1180,NH3,NH3 CLEAN ENERGY LIMITED,Materials,30/10/2008,58318834,58318834,1.3132746387710676,1009891818903,5.774760514779605e-05,7.58384652903661e-05,1.0750260251119568
1181,NHC,NEW HOPE CORPORATION LIMITED,Energy,16/09/2003,3744570606,3744570606,0.8482000130270724,126672735205,0.02956098326873576,0.025073626393634738,1.0282868425662293
1182,NHE,NOBLE HELIUM LIMITED,Energy,08/04/2022,23981000,23981000,0.41494373944557517,126672735205,0.00018931461423952442,7.85549139642448e-05,1.0282868425662293
1183,NHF,NIB HOLDINGS LIMITED,Insurance,05/11/2007,3259529453,3259529453,0.6605428910601053,95017277862,0.0343045972937052,0.022659657873036698,0.7397004388013565
1184,NIC,NICKEL INDUSTRIES LIMITED,Materials,20/08/2018,4058775043,4058775043,1.7556973404946283,1009891818903,0.004019019628665637,0.007056182073443968,1.0750260251119568
1185,NIM,NIMY RESOURCES LIMITED,Materials,22/11/2021,21207607,21207607,0.8461335762128236,1009891818903,2.0999879990152677e-05,1.7768703556108e-05,1.0750260251119568
1186,NME,NEX METALS EXPLORATION LIMITED,Materials,06/12/2007,6035081,6035081,-0.22172315695856176,1009891818903,5.9759678086665134e-06,-1.3250104484202776e-06,1.0750260251119568
